split_point,batch_size,offload_model_state_sp_num,client_offload_activation_mb_num,server_offload_activation_mb_num,client_max_mem_alloc_mb,server_max_mem_alloc_mb,filename
4,8,0,4,4,5633.8018,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_soa_4.json
4,8,0,4,6,5633.8018,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_soa_6.json
4,8,0,4,8,5633.8018,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_4_soa_8.json
4,8,0,6,0,5022.7744,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6.json
4,8,1,6,0,4860.1401,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_1.json
4,8,1,6,1,4860.1401,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_1_soa_1.json
4,8,1,6,4,4860.1401,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_1_soa_4.json
4,8,1,6,6,4860.1401,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_1_soa_6.json
4,8,1,6,8,4860.1401,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_1_soa_8.json
4,8,2,6,0,4667.811,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_2.json
4,8,2,6,1,4667.811,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_2_soa_1.json
4,8,2,6,4,4667.811,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_2_soa_4.json
4,8,2,6,6,4667.811,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_2_soa_6.json
4,8,2,6,8,4667.811,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_2_soa_8.json
4,8,3,6,0,4475.4819,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_3.json
4,8,3,6,1,4475.4819,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_3_soa_1.json
4,8,3,6,4,4475.4819,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_3_soa_4.json
4,8,3,6,6,4475.4819,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_3_soa_6.json
4,8,3,6,8,4475.4819,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_3_soa_8.json
4,8,4,6,0,4283.1528,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_4.json
4,8,4,6,1,4283.1528,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_4_soa_1.json
4,8,4,6,4,4283.1528,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_4_soa_4.json
4,8,4,6,6,4283.1528,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_4_soa_6.json
4,8,4,6,8,4283.1528,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_cos_4_soa_8.json
4,8,0,6,1,5022.7744,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_soa_1.json
4,8,0,6,4,5022.7744,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_soa_4.json
4,8,0,6,6,5022.7744,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_soa_6.json
4,8,0,6,8,5022.7744,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_6_soa_8.json
4,8,0,8,0,4411.7471,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8.json
4,8,1,8,0,4249.1128,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_1.json
4,8,1,8,1,4249.1128,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_1_soa_1.json
4,8,1,8,4,4249.1128,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_1_soa_4.json
4,8,1,8,6,4249.1128,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_1_soa_6.json
4,8,1,8,8,4249.1128,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_1_soa_8.json
4,8,2,8,0,4056.7837,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_2.json
4,8,2,8,1,4056.7837,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_2_soa_1.json
4,8,2,8,4,4056.7837,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_2_soa_4.json
4,8,2,8,6,4056.7837,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_2_soa_6.json
